BCI-AV#,Blissymbol,English,Derivation - explanation,POS,Swedish,Derivation - explanation svenska ,Norwegian,Derivation - explanation Norwegian ,Finnish,Hungarian,German,Dutch,Afrikaans,Russian,Icelandic,Lithuanian,Latvian,Polish,French,Spanish,Portugese,Italian,Danish,WinBliss,
8483,,exclamation_mark,(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to indicate that the symbol statement that follows it is in the imperative form) - Character,WHITE,utropstecken,(punctuation mark - 1. used as punctuation in symbol sentences;  2. used to indicate that the symbol statement that follows it is in the imperative form)   - Character,utropstegn,,huutomerkki,"felkiáltó jel, nyomatékosító jel",Ausrufezeichen,uitroepteken,uitroepteken,восклицательный знак,upphrópunarmerki,šauktukas,izsaukuma zīme,znak zapytania,point d'exclamation (ponctuation),signo de exclamación,ponto de exclamação,punto esclamativo,,Q#1#1#0#0#16#37#17##0#4*&W#3#2#0#0#8#37#9##0#4*%£,
8484,,"percent,percentage,%",(international mathematical symbol) - Character,YELLOW,"procent, %",(international mathematical symbol)   - Character,"prosent, %",,"prosentti, %","százalék, %","Prozent, %","procent, percentage, %","persent, persentasie, %","процент, %","prósent, prósenta, %","procentas, procentai, %","procents, procenti, %","procent, odsetek, %","pourcent (signe), %","por ciento, porcentaje, %","percentagem, %","percentuale, %","procent, %",H#1#1#0#0#8#33#9##0#4*&W#9#1#0#0#8#33#9##0#4*&H#1#1#0#2#14#35#15##0#4*%£,
8485,,question_mark,(punctuation mark - used as punctuation in symbol sentences) - Character,YELLOW,frågetecken,(punctuation mark - used as punctuation in symbol sentences)   - Character,spørsmålstegn,,kysymysmerkki,"kérdés, kérdőjel",Fragezeichen,vraagteken,vraagteken,вопросительный знак,spurningarmerki,klaustukas,jautājuma zīme,wykrzyknik (znak),point d'interrogation (ponctuation),signo de interrogación,,punto interrogativo,,K#1#1#0#0#8#33#9##0#4*&K#1#2#0#2#8#35#9##0#4*&Q#1#1#0#2#16#35#17##0#4*&W#1#2#0#2#12#35#13##0#4*%£,
8486,,"period,point,full_stop,decimal_point",(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol) - Character,WHITE,punkt,(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol)   - Character,punktum,,piste,pont,Punkt,punt,punt,точка,punktur,taškas,punkts,kropka,point (ponctuation),"punto, punto y aparte, punto decimal",,punto,,Q#1#1#0#0#16#29#17##0#4*%£,
8487,,comma,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning) - Character",WHITE,kommatecken,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning)   - Character",komma,,pilkku,vessző,Komma,komma,komma,запятая,komma,kablelis,komats,przecinek,virgule (ponctuation),coma,,virgola,,Y#21#1#0#0#16#31#17##0#4*%£,
8488,,colon,(punctuation mark) - Character,WHITE,kolon,(punctuation mark)   - Character,kolon,,kaksoispiste,kettőspont,Doppelpunkt,"dubbelpunt, deelteken","dubbelpunt, deelteken",двоеточие,tvípunktur,dvitaškis,kols,dwukropek,deux-points (ponctuation),punto y coma,dois pontos,due punti,kolon,Q#1#1#0#0#14#31#15##0#4*&Q#1#1#0#0#16#31#17##0#4*%£,
8489,,apostrophe,(punctuation mark) - Character,WHITE,,(punctuation mark)   - Character,apostrofe,,,,,,,,úrfellingarmerki,kabutė,,,,,,,,Y#21#1#0#0#8#41#9##0#4*%£,
8490,,degree,(punctuation mark) - Character,WHITE,,(punctuation mark)   - Character,grad,,,,,,,,gráða,laipsnis,,,,,,,,H#1#1#0#0#8#41#9##0#4*%£,
8496,,"zero_(digit),0",(Arabic numeral 0) - Character,WHITE,"noll, 0",(Arabic numeral 0)   - Character,"null, 0",,"nolla, 0","nulla, 0","Null, 0","nul, 0","nul, zero, 0","ноль, 0","núll, 0","nulis, 0","nulle (cipars), 0","zero (cyfra), 0","zéro (chiffre), 0","cero (dígito), 0","zero, 0","zero, 0",0,Y#1#1#0#0#12#31#13##0#4*%£,
8497,,"one_(digit),1,modifier_(first_person)",(Arabic numeral 1) - Character,WHITE,"ett, 1",(Arabic numeral 1)   - Character,"en, 1",,"yksi, 1","egy, 1","eins, 1","één, 1","een, 1","один, 1","einn, 1","vienas, 1","viens, (cipars), 1","jeden (cyfra), 1","un (chiffre), 1","uno (dígito), 1","um, 1","uno, una, 1",1,Y#2#1#0#0#12#35#13##0#4*%£,
