BCI-AV#,English,POS,Derivation - explanation,WinBliss
8483,exclamation_mark,WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to indicate that the symbol statement that follows it is in the imperative form) - Character,Q#1#1#0#0#16#37#17##0#4*&W#3#2#0#0#8#37#9##0#4*%£
8484,"percent,percentage,%",YELLOW,(international mathematical symbol) - Character,H#1#1#0#0#8#33#9##0#4*&W#9#1#0#0#8#33#9##0#4*&H#1#1#0#2#14#35#15##0#4*%£
8485,question_mark,YELLOW,(punctuation mark - used as punctuation in symbol sentences) - Character,K#1#1#0#0#8#33#9##0#4*&K#1#2#0#2#8#35#9##0#4*&Q#1#1#0#2#16#35#17##0#4*&W#1#2#0#2#12#35#13##0#4*%£
8486,"period,point,full_stop,decimal_point",WHITE,(punctuation mark - 1. used as punctuation in symbol sentences; 2. international mathematical symbol) - Character,Q#1#1#0#0#16#29#17##0#4*%£
8487,comma,WHITE,"(punctuation mark - 1. used as punctuation in symbol sentences; 2. used to divide component parts of compound and combined symbols, in order to clarify meaning) - Character",Y#21#1#0#0#16#31#17##0#4*%£
8488,colon,WHITE,(punctuation mark) - Character,Q#1#1#0#0#14#31#15##0#4*&Q#1#1#0#0#16#31#17##0#4*%£
8489,apostrophe,WHITE,(punctuation mark) - Character,Y#21#1#0#0#8#41#9##0#4*%£
8490,degree,WHITE,(punctuation mark) - Character,H#1#1#0#0#8#41#9##0#4*%£
8496,"zero_(digit),0",WHITE,(Arabic numeral 0) - Character,Y#1#1#0#0#12#31#13##0#4*%£
8497,"one_(digit),1,modifier_(first_person)",WHITE,(Arabic numeral 1) - Character,Y#2#1#0#0#12#35#13##0#4*%£
8498,"two_(digit),2,modifier_(second_person)",WHITE,(Arabic numeral 2) - Character,Y#3#1#0#0#12#33#13##0#4*%£
8499,"three_(digit),3,modifier_(third_person)",WHITE,(Arabic numeral 3) - Character,Y#4#1#0#0#12#35#13##0#4*%£
8500,"four_(digit),4",WHITE,(Arabic numeral 4) - Character,Y#5#1#0#0#12#35#13##0#4*%£
8501,"five_(digit),5",WHITE,(Arabic numeral 5) - Character,Y#6#1#0#0#12#33#13##0#4*%£
